# Matter power spectrum P(k) at redshift z=0
# for k=1.86049e-05 to 1.34094 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       6.166419115914e-02       4.321415934471e+03 
       6.195465066595e-02       4.304945502678e+03 
       6.224588651677e-02       4.288444859872e+03 
       6.253791841632e-02       4.271922638589e+03 
       6.283076666424e-02       4.255395659525e+03 
       6.312445217741e-02       4.238854051553e+03 
       6.341899651334e-02       4.222297580601e+03 
       6.371442189466e-02       4.205743910681e+03 
       6.401075123472e-02       4.189157095689e+03 
       6.430800816451e-02       4.172559297122e+03 
       6.460621706082e-02       4.155962747281e+03 
       6.490540307584e-02       4.139361491388e+03 
       6.520559216817e-02       4.122747750084e+03 
       6.550681113543e-02       4.106140593054e+03 
       6.580908764853e-02       4.089526434979e+03 
       6.611245028763e-02       4.072892752253e+03 
       6.641692858001e-02       4.056274117838e+03 
       6.672255303992e-02       4.039631312123e+03 
       6.702935521048e-02       4.023014958860e+03 
       6.733736770791e-02       4.006383048434e+03 
       6.764662426800e-02       3.989757165456e+03 
       6.795715979527e-02       3.973128596209e+03 
       6.826901041469e-02       3.956507110851e+03 
       6.858221352640e-02       3.939892241195e+03 
       6.889680786343e-02       3.923275332468e+03 
       6.921283355271e-02       3.906663570887e+03 
       6.953033217965e-02       3.890047769995e+03 
       6.984934685639e-02       3.873456109596e+03 
       7.016992229414e-02       3.856851386505e+03 
       7.049210487979e-02       3.840256404785e+03 
       7.081594275714e-02       3.823685753138e+03 
       7.114148591310e-02       3.807115198952e+03 
       7.146878626918e-02       3.790541609291e+03 
       7.179789777873e-02       3.773977154064e+03 
       7.212887653025e-02       3.757431003087e+03 
       7.246178085746e-02       3.740880432837e+03 
       7.279667145629e-02       3.724337975291e+03 
       7.313361150977e-02       3.707811274915e+03 
       7.347266682108e-02       3.691288811037e+03 
       7.381390595556e-02       3.674764707127e+03 
       7.415740039251e-02       3.658286252952e+03 
       7.450322468739e-02       3.641777791771e+03 
       7.485145664541e-02       3.625283537240e+03 
       7.520217750746e-02       3.608799546454e+03 
       7.555547214945e-02       3.592341169389e+03 
       7.591142929613e-02       3.575867182094e+03 
       7.627014175084e-02       3.559406461361e+03 
       7.663170664247e-02       3.542940812709e+03 
       7.699622569120e-02       3.526507926048e+03 
       7.736380549492e-02       3.510064883302e+03 
       7.773455783796e-02       3.493630519628e+03 
       7.810860002462e-02       3.477196869584e+03 
       7.848605523949e-02       3.460763494721e+03 
       7.886705293756e-02       3.444340443047e+03 
       7.925172926675e-02       3.427922714105e+03 
       7.964022752642e-02       3.411504610877e+03 
       8.003269866528e-02       3.395072120788e+03 
       8.042930182302e-02       3.378640533733e+03 
       8.083020492019e-02       3.362219362800e+03 
       8.123558530151e-02       3.345783210782e+03 
       8.164563043851e-02       3.329364647007e+03 
       8.206053869811e-02       3.312919770520e+03 
       8.248052018460e-02       3.296461912918e+03 
       8.290579766345e-02       3.280008184395e+03 
       8.333660757664e-02       3.263533297069e+03 
       8.377320116043e-02       3.247050615611e+03 
       8.421584567804e-02       3.230543420899e+03 
       8.466482578153e-02       3.214033121803e+03 
       8.512044501928e-02       3.197486887801e+03 
       8.558302750776e-02       3.180933240242e+03 
       8.605291978939e-02       3.164335981946e+03 
       8.653049290131e-02       3.147711757936e+03 
       8.701614468419e-02       3.131069483427e+03 
       8.751030236452e-02       3.114396750611e+03 
       8.801342544967e-02       3.097678798376e+03 
       8.852600898121e-02       3.080918580645e+03 
       8.904858720036e-02       3.064115224858e+03 
       8.958173768812e-02       3.047228381195e+03 
       9.012608605465e-02       3.030327420487e+03 
       9.068231126544e-02       3.013361358049e+03 
       9.125115170871e-02       2.996310160977e+03 
       9.183341212820e-02       2.979185330847e+03 
       9.242997156994e-02       2.961982020631e+03 
       9.304179252161e-02       2.944699926788e+03 
       9.366993145951e-02       2.927324013350e+03 
       9.431555106358e-02       2.909869674466e+03 
       9.497993441718e-02       2.892275235548e+03 
       9.566450157785e-02       2.874548609443e+03 
       9.637082899306e-02       2.856710976711e+03 
       9.710067234414e-02       2.838720823657e+03 
       9.785599353996e-02       2.820545341088e+03 
       9.863899275632e-02       2.802240954167e+03 
       9.945214663882e-02       2.783684187074e+03 
       1.002982540683e-01       2.764950345808e+03 
       1.011804912475e-01       2.745982011210e+03 
       1.021024783250e-01       2.726749163829e+03 
       1.030683603554e-01       2.707206040342e+03 
       1.040829061324e-01       2.687332574792e+03 
       1.051516293617e-01       2.667084730109e+03 
       1.062809377835e-01       2.646417814487e+03 
       1.074783172346e-01       2.625292175304e+03 
       1.087525592082e-01       2.603520583569e+03 
       1.101140420726e-01       2.581140949115e+03 
       1.115750773473e-01       2.558003828499e+03 
       1.131503323876e-01       2.533938289541e+03 
       1.148573375939e-01       2.508776548226e+03 
       1.167170760747e-01       2.482246329285e+03 
       1.187546294881e-01       2.454048905912e+03 
       1.209998032697e-01       2.423727991070e+03 
       1.234875585001e-01       2.390698366241e+03 
       1.262579134356e-01       2.354225048143e+03 
       1.293547377020e-01       2.313273046937e+03 
       1.328226121410e-01       2.266497992336e+03 
       1.367009189404e-01       2.212458692055e+03 
       1.410150799511e-01       2.149487687907e+03 
       1.457668579793e-01       2.076285562506e+03 
       1.509282029813e-01       1.992355401310e+03 
       1.564435040298e-01       1.898538502511e+03 
       1.622408623304e-01       1.797102737107e+03 
       1.682469316796e-01       1.691634974839e+03 
       1.743982840155e-01       1.586250524510e+03 
       1.806462056188e-01       1.485036898704e+03 
       1.869562632448e-01       1.391234107505e+03 
       1.933054412798e-01       1.307347561672e+03 
       1.996789062992e-01       1.234658937793e+03 
       2.060673171524e-01       1.173398690967e+03 
       2.124648758746e-01       1.122945642823e+03 
