# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   81       2.726666470214e-10       5.650835954300e-14      -1.208510320645e-12       0.000000000000e+00       1.948644675245e-11       1.561278451109e-12      -8.343168484774e-15 
   82       2.759837247537e-10       5.835157812389e-14      -1.275688502436e-12       0.000000000000e+00       1.890860446026e-11       1.526650035429e-12      -8.169071743041e-15 
   83       2.793286978395e-10       6.021324784390e-14      -1.344074384899e-12       0.000000000000e+00       1.835240528201e-11       1.493149715134e-12      -8.007971355855e-15 
   84       2.827005870756e-10       6.209209068227e-14      -1.413612443687e-12       0.000000000000e+00       1.781571108088e-11       1.460655039729e-12      -7.864864672301e-15 
   85       2.860998725752e-10       6.398685903928e-14      -1.484266293323e-12       0.000000000000e+00       1.729818305778e-11       1.429153377694e-12      -7.739885305187e-15 
   86       2.895272766802e-10       6.589628036905e-14      -1.556004003286e-12       0.000000000000e+00       1.679979425935e-11       1.398651739943e-12      -7.631706304062e-15 
   87       2.929833234822e-10       6.781903728661e-14      -1.628792884786e-12       0.000000000000e+00       1.632029371699e-11       1.369144303262e-12      -7.538746779897e-15 
   88       2.964683280684e-10       6.975376730424e-14      -1.702599517974e-12       0.000000000000e+00       1.585919715489e-11       1.340611861061e-12      -7.459163106344e-15 
   89       2.999823857669e-10       7.169906256780e-14      -1.777389779162e-12       0.000000000000e+00       1.541577769812e-11       1.313021274128e-12      -7.390840121004e-15 
   90       3.035253613924e-10       7.365346959304e-14      -1.853128868034e-12       0.000000000000e+00       1.498905658070e-11       1.286324921379e-12      -7.331382326696e-15 
