# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       7.726141437266e+13       1.266393964505e-25       5.999027052894e-09       1.287736640268e+22       1.750373107763e+04       2.265520404946e-10       1.352363019856e+18       3.463976796902e-09       9.804595674597e+43       1.148579262631e+33       3.081673959167e+33       4.198487453156e-08       6.778060871876e+43       1.658265654690e+44       1.658265654690e+44       5.527552182158e+43      -3.685167574918e+52       1.582305256206e-05       1.319303816796e+00 
       7.643538043208e+13       1.293913599531e-25       6.064510671422e-09       1.260348379919e+22       1.750373107763e+04       2.290003788649e-10       1.337904343899e+18       3.501411848390e-09       9.391972187335e+43       1.112131911819e+33       2.983884580990e+33       4.198487453156e-08       6.492808199900e+43       1.588478038765e+44       1.588478038765e+44       5.294926795745e+43      -3.492336858184e+52       1.604744196771e-05       1.300856153930e+00 
       7.561817796419e+13       1.322031255641e-25       6.129994289950e-09       1.233542627500e+22       1.750373107763e+04       2.314751763249e-10       1.323600251665e+18       3.539251458902e-09       8.996713836576e+43       1.076841128449e+33       2.889198309309e+33       4.198487453156e-08       6.219560301621e+43       1.521627413859e+44       1.521627413859e+44       5.072091379399e+43      -3.309596234930e+52       1.627183137337e-05       1.282917279538e+00 
       7.480971254804e+13       1.350759928571e-25       6.195477908477e-09       1.207306993926e+22       1.750373107763e+04       2.339767188169e-10       1.309449090436e+18       3.577500000501e-09       8.618089815724e+43       1.042670211687e+33       2.797516674639e+33       4.198487453156e-08       5.957811959714e+43       1.457590177582e+44       1.457590177582e+44       4.858633925146e+43      -3.136417729175e+52       1.649622077902e-05       1.265466431282e+00 
       7.400989077217e+13       1.380112895907e-25       6.264599505812e-09       1.181629353609e+22       1.750373107763e+04       2.365052953734e-10       1.295449225161e+18       3.616161892481e-09       8.255400073962e+43       1.009583625307e+33       2.708744332179e+33       4.198487453156e-08       5.707079218778e+43       1.396247929311e+44       1.396247929311e+44       4.654159764247e+43      -2.972300991904e+52       1.672061018468e-05       1.248483961326e+00 
       7.321862022383e+13       1.410103724200e-25       6.330083124340e-09       1.156497838856e+22       1.750373107763e+04       2.390611981504e-10       1.281599038273e+18       3.655241601914e-09       7.907974021903e+43       9.775469607398e+32       2.622788962665e+33       4.198487453156e-08       5.466898490527e+43       1.337487251279e+44       1.337487251279e+44       4.458290837477e+43      -2.816771855450e+52       1.694499959034e-05       1.231951262565e+00 
       7.243580947828e+13       1.440746274655e-25       6.399204721674e-09       1.131900834381e+22       1.750373107763e+04       2.416447224612e-10       1.267896929498e+18       3.694743644135e-09       7.575169291715e+43       9.465269012863e+32       2.539561176355e+33       4.198487453156e-08       5.236825696652e+43       1.281199498871e+44       1.281199498871e+44       4.270664996122e+43      -2.669380963525e+52       1.716938899600e-05       1.215850700612e+00 
       7.166136808825e+13       1.472054709196e-25       6.468326319009e-09       1.107826971937e+22       1.750373107763e+04       2.442561668104e-10       1.254341315672e+18       3.734672583260e-09       7.256370549422e+43       9.164911874726e+32       2.458974420076e+33       4.198487453156e-08       5.016435447747e+43       1.227280599751e+44       1.227280599751e+44       4.090935332390e+43      -2.529702472936e+52       1.739377840165e-05       1.200165551044e+00 
       7.089520657347e+13       1.504043498613e-25       6.537447916344e-09       1.084265125065e+22       1.750373107763e+04       2.468958329289e-10       1.240930630555e+18       3.775033032772e-09       6.950988357200e+43       8.874085834999e+32       2.380944887206e+33       4.198487453156e-08       4.805320256793e+43       1.175630861432e+44       1.175630861432e+44       3.918769537997e+43      -2.397332823236e+52       1.761816780732e-05       1.184879941481e+00 
       7.013723641037e+13       1.536727426458e-25       6.610207492486e-09       1.061204403948e+22       1.750373107763e+04       2.495640258081e-10       1.227663324655e+18       3.815829655942e-09       6.658458083535e+43       8.592488447607e+32       2.305391430520e+33       4.198487453156e-08       4.603089785739e+43       1.126154786959e+44       1.126154786959e+44       3.753849289758e+43      -2.271889570750e+52       1.784255721298e-05       1.169978797971e+00 
